Position,Track Name,Artist,Streams,URL,Year,Month,Track ID
118,Waiting,KIAN,54451,https://open.spotify.com/track/0TBFJanfWaByPIi3f7RR82,2019,01,5imShWWzwqfAJ9gXFpGAQh
119,Best Part (feat. Daniel Caesar),H.E.R.,54233,https://open.spotify.com/track/4OBZT9EnhYIV17t4pGw7ig,2019,01,4OBZT9EnhYIV17t4pGw7ig
120,Red Red Wine,UB40,54200,https://open.spotify.com/track/1vYew137WJ69SFp9oez3xm,2019,01,4uOKFydzAejjSFqYbv1XPt
121,Leave Me Lonely,Hilltop Hoods,53902,https://open.spotify.com/track/03Pg5wDlaYAZlTNLeAfl2r,2019,01,0zXXqCxifU2u8jfW2r4POb
122,Hotel California - 2013 Remaster,Eagles,53502,https://open.spotify.com/track/40riOy7x9W7GXjyGp4pjAv,2019,01,40riOy7x9W7GXjyGp4pjAv
123,Perfect,Ed Sheeran,53441,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v,2019,01,0tgVpDi06FyKpA1z0VMD4v
124,Havana (feat. Young Thug),Camila Cabello,53386,https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W,2019,01,1rfofaqEpACxVEHIZBJe6W
125,Bright Blue Skies,Mitch James,53104,https://open.spotify.com/track/5zxwumO0laRosoeOvbVSvc,2019,01,5zxwumO0laRosoeOvbVSvc
126,Pure Water (with Migos),Mustard,53063,https://open.spotify.com/track/63cd4JkwGgYJrbOizbfmsp,2019,01,3j84U36KvLeXNDPv4t5pI8
127,Old News,Mitch James,52906,https://open.spotify.com/track/6o2bqHKLjiuVsa5vUvneAp,2019,01,1Ib6RGb1Wmdl0r7D9PY36i
128,Nonstop,Drake,52673,https://open.spotify.com/track/0TlLq3lA83rQOYtrqBqSct,2019,01,0TlLq3lA83rQOYtrqBqSct
129,Under Pressure - Remastered 2011,Queen,52376,https://open.spotify.com/track/2fuCquhmrzHpu5xcA1ci9x,2019,01,11IzgLRXV7Cgek3tEgGgjw
130,Don't Stop Believin',Journey,52232,https://open.spotify.com/track/4bHsxqR3GMrXTxEPLuK5ue,2019,01,4bHsxqR3GMrXTxEPLuK5ue
