Position,Track Name,Artist,Streams,URL,Year,Month,Track ID,Danceability,Valence,Energy
92,Meant to Be (feat. Florida Georgia Line),Bebe Rexha,62282,https://open.spotify.com/track/4e4fqjx0Izh4svvTef1z7e,2019,1,7iDa6hUg2VgEL1o1HjmfBn,0.643,0.783,0.579
93,Thotiana,Blueface,62202,https://open.spotify.com/track/3oh6SCCeLuXhFpEyepla6G,2019,1,5GBuCHuPKx6UC7VsSPK0t3,0.906,0.382,0.391
94,bury a friend,Billie Eilish,61849,https://open.spotify.com/track/4NzMOnvSJVNKF7nw5NkXIP,2019,1,4SSnFejRGlZikf02HLewEF,0.905,0.389,0.196
95,"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",Rudimental,61722,https://open.spotify.com/track/20ZP3Om9DvDazXrNUC7WM2,2019,1,5CLGzJsGqhCEECcpnFQA8x,0.653,0.809,0.55
96,Lie To Me (feat. Julia Michaels),5 Seconds of Summer,61688,https://open.spotify.com/track/6GzApXoBQiiAjak3tOQfV3,2019,1,6GzApXoBQiiAjak3tOQfV3,0.611,0.52,0.771
97,How To Fly,Sticky Fingers,61286,https://open.spotify.com/track/3jAoLij05OiNndX2XlSRdS,2019,1,6I3Evf3nNhxFA5lSM37Y0v,0.677,0.644,0.536
98,idontwannabeyouanymore,Billie Eilish,60908,https://open.spotify.com/track/40T5GIqQ1CegGm2PTEl8Bu,2019,1,41zXlQxzTi6cGAjpOXyLYH,0.483,0.412,0.247
99,In My Feelings,Drake,60878,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ,2019,1,2G7V7zsVDxg1yRsu7Ew9RJ,0.835,0.626,0.35
100,Love Lies (with Normani),Khalid,60250,https://open.spotify.com/track/45Egmo7icyopuzJN0oMEdk,2019,1,45Egmo7icyopuzJN0oMEdk,0.708,0.648,0.338
101,Closer,SIX60,59793,https://open.spotify.com/track/1kpSmoMmNm3pcCU7MTTpoJ,2019,1,7BKLCZ1jbUBVqRi2FVlTVw,0.748,0.524,0.661
102,Faucet Failure,Ski Mask The Slump God,58952,https://open.spotify.com/track/1ThmUihH9dF8EV08ku5AXN,2019,1,1ThmUihH9dF8EV08ku5AXN,0.935,0.552,0.615
103,Thunder,Imagine Dragons,58451,https://open.spotify.com/track/1zB4vmk8tFRmM9UULNzbLB,2019,1,1zB4vmk8tFRmM9UULNzbLB,0.605,0.822,0.288
104,Go Your Own Way - 2004 Remaster,Fleetwood Mac,58297,https://open.spotify.com/track/07GvNcU1WdyZJq3XxP0kZa,2019,1,4xh7W7tlNMIczFhupCPniY,0.586,0.941,0.831
105,The Middle,Zedd,57799,https://open.spotify.com/track/09IStsImFySgyp0pIQdqAc,2019,1,6GG73Jik4jUlQCkKg9JuGO,0.643,0.849,0.903
106,Falling Down - Bonus Track,Lil Peep,57744,https://open.spotify.com/track/4jvjzW7Hm0yK4LvvE0Paz9,2019,1,4jvjzW7Hm0yK4LvvE0Paz9,0.669,0.574,0.273
107,Don’t Forget Your Roots,SIX60,57581,https://open.spotify.com/track/5mUiad5pDU1wFvIbtKgJKB,2019,1,47xUzcYTwMWy9O273o2JeU,0.629,0.547,0.418
108,ocean eyes,Billie Eilish,57529,https://open.spotify.com/track/2uIX8YMNjGMD7441kqyyNU,2019,1,7hDVYcQq6MxkdJGweuCtl9,0.511,0.363,0.169
109,broken,lovelytheband,57384,https://open.spotify.com/track/6XcfKZvJio9Z0fQy11GnNX,2019,1,4W8sUeokQKfHt1uTXp0Jq0,0.83,0.583,0.146
110,Mr. Brightside,The Killers,57104,https://open.spotify.com/track/7oK9VyNzrYvRFo7nQEYkWN,2019,1,7oK9VyNzrYvRFo7nQEYkWN,0.356,0.924,0.232
111,Say You Won't Let Go,James Arthur,56781,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh,2019,1,5uCax9HTNlzGybIStD3vDh,0.358,0.557,0.494
112,Trip,Ella Mai,56004,https://open.spotify.com/track/6CTWathupIiDs7U4InHnDA,2019,1,6CTWathupIiDs7U4InHnDA,0.477,0.61,0.358
113,Whatchamacallit (feat. Chris Brown),Ella Mai,55976,https://open.spotify.com/track/1YLfaRr3QIW1fF3nvDO0gX,2019,1,1YLfaRr3QIW1fF3nvDO0gX,0.656,0.616,0.269
114,Young Dumb & Broke,Khalid,55482,https://open.spotify.com/track/5Z3GHaZ6ec9bsiI5BenrbY,2019,1,5Z3GHaZ6ec9bsiI5BenrbY,0.798,0.539,0.394
115,Rum Rage,Sticky Fingers,54980,https://open.spotify.com/track/5uBK8Ap1BCEc4GgMcEjeic,2019,1,3OwsQhfC9eJdOlD3IO74l4,0.596,0.273,0.361
116,Another One Bites The Dust - Remastered 2011,Queen,54952,https://open.spotify.com/track/5vdp5UmvTsnMEMESIF2Ym7,2019,1,57JVGBtBLCfHw2muk5416J,0.933,0.528,0.756
117,Nice For What,Drake,54857,https://open.spotify.com/track/3CA9pLiwRIGtUBiMjbZmRw,2019,1,3CA9pLiwRIGtUBiMjbZmRw,0.585,0.909,0.758
118,Waiting,KIAN,54451,https://open.spotify.com/track/0TBFJanfWaByPIi3f7RR82,2019,1,5imShWWzwqfAJ9gXFpGAQh,0.578,0.756,0.663
119,Best Part (feat. Daniel Caesar),H.E.R.,54233,https://open.spotify.com/track/4OBZT9EnhYIV17t4pGw7ig,2019,1,4OBZT9EnhYIV17t4pGw7ig,0.473,0.371,0.413
120,Red Red Wine,UB40,54200,https://open.spotify.com/track/1vYew137WJ69SFp9oez3xm,2019,1,4uOKFydzAejjSFqYbv1XPt,0.857,0.468,0.843
121,Leave Me Lonely,Hilltop Hoods,53902,https://open.spotify.com/track/03Pg5wDlaYAZlTNLeAfl2r,2019,1,0zXXqCxifU2u8jfW2r4POb,0.445,0.446,0.389
122,Hotel California - 2013 Remaster,Eagles,53502,https://open.spotify.com/track/40riOy7x9W7GXjyGp4pjAv,2019,1,40riOy7x9W7GXjyGp4pjAv,0.579,0.508,0.609
123,Perfect,Ed Sheeran,53441,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v,2019,1,0tgVpDi06FyKpA1z0VMD4v,0.599,0.448,0.168
