Position,Track Name,Artist,Streams,URL,Year,Month,Track ID,Danceability,Valence,Energy
69,God's Plan,Drake,7896269,https://open.spotify.com/track/6DCZcSspjsKoFjzjrWoCdn,2019,1,6DCZcSspjsKoFjzjrWoCdn,0.754,0.449,0.357
70,Natural,Imagine Dragons,7845067,https://open.spotify.com/track/2FY7b99s15jUprqC0M5NCT,2019,1,2FY7b99s15jUprqC0M5NCT,0.704,0.611,0.22
71,Jocelyn Flores,XXXTENTACION,7843780,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96,2019,1,7m9OqQk4RVRkw9JJdeAw96,0.872,0.391,0.437
72,Startender (feat. Offset and Tyga),A Boogie Wit da Hoodie,7769520,https://open.spotify.com/track/0jAfdqv18goRTUxm3ilRjb,2019,1,0jAfdqv18goRTUxm3ilRjb,0.736,0.622,0.506
73,Body (feat. brando),Loud Luxury,7719123,https://open.spotify.com/track/7K7MUBCnzgBAvMVW2RTWNs,2019,1,0BrDfbNc3HiIHPGfTT8DRc,0.752,0.763,0.593
74,Bubalu,Becky G,7691925,https://open.spotify.com/track/7dNwJbsT0sg1le5kVugGJb,2019,1,7dNwJbsT0sg1le5kVugGJb,0.8,0.355,0.253
75,Beautiful (feat. Camila Cabello),Bazzi,7568703,https://open.spotify.com/track/4VUwkH455At9kENOfzTqmF,2019,1,4VUwkH455At9kENOfzTqmF,0.638,0.717,0.249
76,Let You Love Me,Rita Ora,7475195,https://open.spotify.com/track/5Fla3zyOCcIRqrDoKLU0DP,2019,1,5Fla3zyOCcIRqrDoKLU0DP,0.475,0.846,0.451
77,2002,Anne-Marie,7447419,https://open.spotify.com/track/2BgEsaKNfHUdlh97KmvFyo,2019,1,2BgEsaKNfHUdlh97KmvFyo,0.697,0.683,0.603
78,In My Feelings,Drake,7445971,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ,2019,1,2G7V7zsVDxg1yRsu7Ew9RJ,0.835,0.626,0.35
79,Reggaeton,J Balvin,7429241,https://open.spotify.com/track/2D3z17LBMJ2HEHeBFFjTLi,2019,1,6yVkakCN460KOVol9ZazjH,0.694,0.796,0.515
80,Shape of You,Ed Sheeran,7372309,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3,2019,1,7qiZfU4dY1lWllzX7mPBI3,0.825,0.652,0.931
81,Nonstop,Drake,7294497,https://open.spotify.com/track/0TlLq3lA83rQOYtrqBqSct,2019,1,0TlLq3lA83rQOYtrqBqSct,0.912,0.412,0.423
82,Rewrite The Stars (with James Arthur & Anne-Marie),James Arthur,7277513,https://open.spotify.com/track/6mQLN3zRtAp6ovjusyYKrV,2019,1,6mQLN3zRtAp6ovjusyYKrV,0.67,0.743,0.571
83,breathin,Ariana Grande,7232610,https://open.spotify.com/track/4OafepJy2teCjYJbvFE60J,2019,1,4OafepJy2teCjYJbvFE60J,0.568,0.656,0.364
84,Say My Name,David Guetta,7057221,https://open.spotify.com/track/0YammaEkYSeo9vQYZ1OwS6,2019,1,7H6ev70Weq6DdpZyyTmUXk,0.713,0.678,0.734
85,monster,21 Savage,7052322,https://open.spotify.com/track/2FUNBaa5DwItJtYEBgAblU,2019,1,2UREu1Y8CO4jXkbvqAtP7g,0.64,0.957,0.692
86,Nights Like This (feat. Ty Dolla $ign),Kehlani,7037371,https://open.spotify.com/track/7e4KQkp5ZR1gXCAalRjX6B,2019,1,6ZRuF2n1CQxyxxAAWsKJOy,0.61,0.725,0.291
87,Undecided,Chris Brown,7013119,https://open.spotify.com/track/7uiBocndm12aKbsdnQ3Scx,2019,1,58oryymPZNdtS2z8Une6NJ,0.407,0.612,0.488
88,Te Vi,Piso 21,7003480,https://open.spotify.com/track/059bcIhyc2SBwm6sw2AZzd,2019,1,059bcIhyc2SBwm6sw2AZzd,0.877,0.777,0.706
89,Believer,Imagine Dragons,6988224,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP,2019,1,0pqnGHJpmpxLKifKRmU6WP,0.776,0.78,0.666
90,Psycho (feat. Ty Dolla $ign),Post Malone,6940641,https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C,2019,1,3swc6WTsr7rl9DqQKQA55C,0.75,0.56,0.459
91,"Fire On Fire - From ""Watership Down""",Sam Smith,6936477,https://open.spotify.com/track/5rFj8OzffT0iggSjcBaeND,2019,1,5rFj8OzffT0iggSjcBaeND,0.584,0.407,0.341
92,KIKA,6ix9ine,6905067,https://open.spotify.com/track/6Gy7rXB6Ku5vIWC7WGWsl3,2019,1,6VRwEqn7BvsN0dChfDrMAf,0.745,0.715,0.342
93,One Kiss (with Dua Lipa),Calvin Harris,6896828,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6,2019,1,7ef4DlsgrMEH11cDZd32M6,0.791,0.862,0.592
94,Kiss and Make Up,Dua Lipa,6890632,https://open.spotify.com/track/13hvHEstJ4sNbzdroPrPI3,2019,1,7jr3iPu4O4bTCVwLMbdU2i,0.678,0.729,0.643
