,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
179,"Makhna (From ""Makhna"")","Yo Yo Honey Singh",94783,https://open.spotify.com/track/6fKZXwpDg282ozJNCNwve9
180,Bulleya,Pritam,93932,https://open.spotify.com/track/0Bz7dfqPY4JOGZO3O1j8Wh
181,"Zindabad Zindabad","Sarath Santosh",92761,https://open.spotify.com/track/2QYaPFQkOcUZYfylyJHiH6
182,Cradles,"Sub Urban",92747,https://open.spotify.com/track/1y4jsQt7MjnZhiD1L6qFBC
183,Wolves,"Selena Gomez",92160,https://open.spotify.com/track/0tBbt8CrmxbjRP0pueQkyU
184,Morniyee,"The Landers",92012,https://open.spotify.com/track/0Wsw8LTurIyrMiruWCoCrw
185,Lily,"Alan Walker",91806,https://open.spotify.com/track/0lks2Kt9veMOFEAPN0fsqN
186,"lovely (with Khalid)","Billie Eilish",91292,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
187,"Cheez Badi (From ""Machine"")","Udit Narayan",90840,https://open.spotify.com/track/7df5pgsDbsRcnYh0fVTe3c
188,"Better Now","Post Malone",90697,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
189,"Bom Diggy","Zack Knight",90690,https://open.spotify.com/track/7Dhy1R9NmD96wfr7VJEN37
190,Easier,"5 Seconds of Summer",90507,https://open.spotify.com/track/4tNXntkAzQ5A2dfYRYGIIQ
191,"Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy)","Martin Garrix",90477,https://open.spotify.com/track/40OMBMYRk5IQL6xCzGM0JA
192,"Ishare Tere (From ""Ishare Tere"")","Guru Randhawa",90273,https://open.spotify.com/track/3bHI0o9TLQ2jJzjr0ES7dX
193,"Something Just Like This","The Chainsmokers",90063,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW
194,"On A Roll","Ashley O",89876,https://open.spotify.com/track/56JyMaElW79S7TDWh1Zw1m
195,"Blank Space","Taylor Swift",89774,https://open.spotify.com/track/1u8c2t2Cy7UBoG4ArRcF5g
196,"Jab Koi Baat - Recreated","Atif Aslam",89702,https://open.spotify.com/track/43GfQ1SC17rBWiHkOtdwK8
197,Darkside,"Alan Walker",89561,https://open.spotify.com/track/6SRWhUJcD2YKahCwHavz3X
198,Intezari,"Armaan Malik",89501,https://open.spotify.com/track/7zcP8Xk40nON9Jz7HyUuV2
199,"SOS (feat. Aloe Blacc)",Avicii,88141,https://open.spotify.com/track/2x0RZdkZcD8QRI53XT4GI5
200,"Daru Badnaam","Param Singh",87507,https://open.spotify.com/track/2TzyJEUfWHGRsk3r6Emvbk
