,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
156,"Baguettes in the Face (feat. NAV, Playboi Carti & A Boogie Wit da Hoodie)",Mustard,44009,https://open.spotify.com/track/2zjGJ0dChMR0KxBZS15aqo
157,"Meant to Be (feat. Florida Georgia Line)","Bebe Rexha",44005,https://open.spotify.com/track/4e4fqjx0Izh4svvTef1z7e
158,Heaven,Avicii,43796,https://open.spotify.com/track/0vrmHPfoBadXVr2n0m1aqZ
159,"How To Fly","Sticky Fingers",43526,https://open.spotify.com/track/3jAoLij05OiNndX2XlSRdS
160,"CIVIL WAR - Bonus",Russ,43387,https://open.spotify.com/track/5tmu5pAFHkUSl8Fo8ncyA4
161,"Praise The Lord (Da Shine) (feat. Skepta)","A$AP Rocky",43355,https://open.spotify.com/track/7ycWLEP1GsNjVvcjawXz3z
162,"gone girl","iann dior",43240,https://open.spotify.com/track/6G0FACzGN80Dj2v4ass5rq
163,"Party In The U.S.A.","Miley Cyrus",43028,https://open.spotify.com/track/3E7dfMvvCLUddWissuqMwr
164,"Don't Stop Me Now - Remastered 2011",Queen,42567,https://open.spotify.com/track/5T8EDUDqKcs6OSOwEsfqG7
165,"Worth It","YK Osiris",42484,https://open.spotify.com/track/4XiGKQqbmnMVxDzUj6j3f2
166,Isis,"Joyner Lucas",42364,https://open.spotify.com/track/36TO60sxDduIsO3xH8IcUh
167,"Brown Eyed Girl","Van Morrison",42283,https://open.spotify.com/track/3yrSvpt2l1xhsV9Em88Pul
168,"BROWN SKIN GIRL","Blue Ivy",42002,https://open.spotify.com/track/0B3FovCVaGKS5w1FTidEUP
169,"Love Someone","Lukas Graham",41979,https://open.spotify.com/track/3id2EVGKc3eFAMn9nFnB0r
170,"The Chain - 2004 Remaster","Fleetwood Mac",41855,https://open.spotify.com/track/5e9TFTbltYBg2xThimr0rU
171,"Thinking out Loud","Ed Sheeran",41827,https://open.spotify.com/track/1Slwb6dOYkBlWal1PGtnNg
172,"Summer Of '69","Bryan Adams",41702,https://open.spotify.com/track/6N1EjQjnvhOjFrF6oUmGPa
173,"Close To Me (with Diplo) (feat. Swae Lee)","Ellie Goulding",41698,https://open.spotify.com/track/5JEx7HbmvHQQswJCsoo9rA
174,"Nights Like This (feat. Ty Dolla $ign)",Kehlani,41499,https://open.spotify.com/track/6ZRuF2n1CQxyxxAAWsKJOy
175,"Tennessee Whiskey","Chris Stapleton",41410,https://open.spotify.com/track/3fqwjXwUGN6vbzIwvyFMhx
176,"Promises (with Sam Smith)","Calvin Harris",41343,https://open.spotify.com/track/5N5k9nd479b1xpDZ4usjrg
177,"Dancing On My Own","Calum Scott",41055,https://open.spotify.com/track/2BOqDYLOJBiMOXShCV1neZ
178,"The Middle",Zedd,40991,https://open.spotify.com/track/09IStsImFySgyp0pIQdqAc
179,"Don't Call Me Up",Mabel,40965,https://open.spotify.com/track/5WHTFyqSii0lmT9R21abT8
180,"Focus (feat. 21 Savage)",Bazzi,40955,https://open.spotify.com/track/12iDo4Kdw9vA2X1lN3UTVu
181,Believer,"Imagine Dragons",40734,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
182,"Best Part (feat. Daniel Caesar)",H.E.R.,40696,https://open.spotify.com/track/4OBZT9EnhYIV17t4pGw7ig
183,Moonlight,XXXTENTACION,40650,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
184,"Rum Rage","Sticky Fingers",40554,https://open.spotify.com/track/5uBK8Ap1BCEc4GgMcEjeic
185,"Giant (with Rag'n'Bone Man)","Calvin Harris",40438,https://open.spotify.com/track/5itOtNx0WxtJmi1TQ3RuRd
186,"ZEZE (feat. Travis Scott & Offset)","Kodak Black",40387,https://open.spotify.com/track/0FZ4Dmg8jJJAPJnvBIzD9z
187,"Get You The Moon (feat. Snøw)",Kina,40246,https://open.spotify.com/track/4ZLzoOkj0MPWrTLvooIuaa
188,"God's Plan",Drake,40016,https://open.spotify.com/track/6DCZcSspjsKoFjzjrWoCdn
189,"Your Song","Elton John",39845,https://open.spotify.com/track/38zsOOcu31XbbYj9BIPUF1
190,"Listen to the Music","The Doobie Brothers",39827,https://open.spotify.com/track/7Ar4G7Ci11gpt6sfH9Cgz5
191,"Havana (feat. Young Thug)","Camila Cabello",39816,https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W
192,"Under Pressure - Remastered 2011",Queen,39805,https://open.spotify.com/track/2fuCquhmrzHpu5xcA1ci9x
193,"My Bad",Khalid,39800,https://open.spotify.com/track/2XKFnwB6djxrJCjR3PdeRb
194,"Another One Bites The Dust - Remastered 2011",Queen,39739,https://open.spotify.com/track/5vdp5UmvTsnMEMESIF2Ym7
195,"Pumped Up Kicks","Foster The People",39383,https://open.spotify.com/track/7w87IxuO7BDcJ3YUqCyMTT
196,Nightmare,Halsey,39254,https://open.spotify.com/track/340UVheS8z3ncW9TTUhAbc
197,"Sweet Child O' Mine","Guns N' Roses",39254,https://open.spotify.com/track/7o2CTH4ctstm8TNelqjb51
198,HUMBLE.,"Kendrick Lamar",39242,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS
199,Bruises,"Lewis Capaldi",39229,https://open.spotify.com/track/4Of7rzpRpV1mWRbhp5rAqG
200,September,"Earth, Wind & Fire",39214,https://open.spotify.com/track/1mqlc0vEP9mU1kZgTi6LIQ
