Position,Track Name,Artist,Streams,URL,Year,Month,yyyy-mm,Stream %,Track ID
152,Back To You - From 13 Reasons Why – Season 2 Soundtrack,Selena Gomez,117022,https://open.spotify.com/track/4hQ6UGyWQIGJmHSo0J88JW,2019,09,2019-09,0.0030155999612941913,4hQ6UGyWQIGJmHSo0J88JW
153,Valentine's Mashup 2019,Amrita Singh,115527,https://open.spotify.com/track/1MhHomaXgrPMBroXkpWSSa,2019,09,2019-09,0.0029770745392185575,1MhHomaXgrPMBroXkpWSSa
154,Lily,Alan Walker,115055,https://open.spotify.com/track/0lks2Kt9veMOFEAPN0fsqN,2019,09,2019-09,0.0029649113290381567,0lks2Kt9veMOFEAPN0fsqN
155,Here With Me,Marshmello,114569,https://open.spotify.com/track/5icOoE6VgqFKohjWWNp0Ac,2019,09,2019-09,0.002952387345674439,5icOoE6VgqFKohjWWNp0Ac
156,"Odhani (From ""Made in China"")",Sachin-Jigar,114569,https://open.spotify.com/track/2q0V50aNlI1RQXJyE5HDgD,2019,09,2019-09,0.002952387345674439,2q0V50aNlI1RQXJyE5HDgD
157,Enemies (feat. DaBaby),Post Malone,113656,https://open.spotify.com/track/0Xek5rqai2jcOWCYWJfVCF,2019,09,2019-09,0.0029288597802195537,0Xek5rqai2jcOWCYWJfVCF
158,"Love Me Like You Do - From ""Fifty Shades Of Grey""",Ellie Goulding,113237,https://open.spotify.com/track/3zHq9ouUJQFQRf3cm1rRLu,2019,09,2019-09,0.0029180623542331384,3zHq9ouUJQFQRf3cm1rRLu
159,Cradles,Sub Urban,113136,https://open.spotify.com/track/1y4jsQt7MjnZhiD1L6qFBC,2019,09,2019-09,0.0029154596334106378,1y4jsQt7MjnZhiD1L6qFBC
160,Something Just Like This,The Chainsmokers,112864,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW,2019,09,2019-09,0.002908450325849051,6RUKPb4LETWmmr3iAEQktW
161,Feelings,Lauv,112088,https://open.spotify.com/track/0y675KDleCZEudjoeL1sQQ,2019,09,2019-09,0.0028884531836880526,0s26En1JoJhVj32vizElpA
162,i'm so tired...,Lauv,111713,https://open.spotify.com/track/7COXchtUOMd6uIT6HvmRaI,2019,09,2019-09,0.0028787896162777767,4vjpLMyL3ZO6aphdYr8XYw
