,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
180,"Mujer Bruja","Lola Indigo",242622,https://open.spotify.com/track/2o2PFz6MLkKXVDYlzDAVH7
181,Sirenas,Taburete,242484,https://open.spotify.com/track/4unOsvr9C2NqI9aJXrxpCy
182,"Vaina Loca",Ozuna,240609,https://open.spotify.com/track/48zFZh27QU5qsrBjn4C2FA
183,Perdón,"David Bisbal",240307,https://open.spotify.com/track/4iCJFRTRsFlj4UWoEd7bS9
184,"El Efecto","Rauw Alejandro",239112,https://open.spotify.com/track/4SJHHpKhcuXwDsCsPqshXj
185,Vida,Maka,236177,https://open.spotify.com/track/4vULPzjj5Eqfgf0gB60wVw
186,"Nuevo Verano",Amaia,235348,https://open.spotify.com/track/1upjsrluj2HQqS2EYHM21t
187,"Déjame Ser","Manuel Carrasco",234591,https://open.spotify.com/track/3cJGFgemiI7gROm7AzRAiR
188,Bandolera,"Bryant Myers",234022,https://open.spotify.com/track/5suqjbw9bF0T1X3HU1oG1v
189,"Cúrame (feat. Manuel Turizo)","Prince Royce",233172,https://open.spotify.com/track/6rXxAohZzTDsP5KT3IDFIU
190,"Besos En Guerra",Morat,231966,https://open.spotify.com/track/1mlGScrDQqHqmhdIqE8MmA
191,"Como Tu",Bandaga,230983,https://open.spotify.com/track/3la3ywDAvhJ6lR7sVE0d6J
192,TELÉFONO,Aitana,230687,https://open.spotify.com/track/5UBF2uyFNOfCCOV7vTE8CD
193,Imposible,"Luis Fonsi",229534,https://open.spotify.com/track/4cuGZb0iFyHtwaSKdKrJkF
194,"Bohemian Rhapsody - Remastered 2011",Queen,228927,https://open.spotify.com/track/4u7EnebtmKWzUH433cf5Qv
195,Benicàssim,"Juancho Marqués",226529,https://open.spotify.com/track/2W4lpjqWOPPqN0OkPAVHmI
196,Late,"Pol Granch",226003,https://open.spotify.com/track/2rjCYP9ibN6tYXNWF6AqSk
197,Panini,"Lil Nas X",225081,https://open.spotify.com/track/1000nHvUdawXuUHgBod4Wv
198,Bellacoso,Residente,223617,https://open.spotify.com/track/1kMUGCt7XLDc5Q64Vl0H8S
199,"Pa que lo gocen",FERNANDOCOSTA,223093,https://open.spotify.com/track/7BMdZsDXxPH6Db3Ug6A2q2
200,"Ya No Quiero Ná","Lola Indigo",222291,https://open.spotify.com/track/4f5yHCv21vkIMRjmlmxaxk
