Position,Track Name,Artist,Streams,URL,Year,Month,yyyy-mm,Stream %,Track ID,Danceability,Valence,Energy,Tempo,Danceability_Stream%,Valence_Stream%,Energy_Stream%,Tempo_Stream%
38,Vertigini,Tedua,684171,https://open.spotify.com/track/1Oou7m2VuxCDSOdqsu07TU,2019,1,2019-01,0.006383908673354485,1Oou7m2VuxCDSOdqsu07TU,0.579,0.476,0.774,133.722,0.0036962831218722465,0.0030387405285167346,0.004941145313176371,0.8536690356183084
39,Los Angeles,Luna,675608,https://open.spotify.com/track/44oZqBLSPMKbxB0bOuUrEN,2019,1,2019-01,0.0063040084583937004,4loXMor75kKVBB03ygwDlh,0.694,0.199,0.572,115.99,0.004374981870125228,0.0012544976832203464,0.0036058928382011963,0.7312019410890853
40,Non Abbiamo Età,Luche,672847,https://open.spotify.com/track/0NwuXciw6eQc4edjwSBnV3,2019,1,2019-01,0.0062782459343359255,0NwuXciw6eQc4edjwSBnV3,0.372,0.191,0.689,193.259,0.0023355074875729643,0.0011991449734581618,0.0043257114487574525,1.2133275310238265
41,Bling Bling (Oro),Guè Pequeno,669429,https://open.spotify.com/track/11AXfsh0V6zCCU7Po6kQiY,2019,1,2019-01,0.006246353030594719,11AXfsh0V6zCCU7Po6kQiY,0.693,0.419,0.731,97.959,0.00432872265020214,0.0026172219198191873,0.004566084065364739,0.6118864965240282
42,LUNEDI',Salmo,665908,https://open.spotify.com/track/1VNARx6Sm6ZYAsDMCGiU1B,2019,1,2019-01,0.00621349904754241,1VNARx6Sm6ZYAsDMCGiU1B,0.571,0.467,0.762,124.382,0.003547907956146716,0.0029017040552023056,0.004734686274227316,0.7728474385314201
43,Poesia senza veli,Ultimo,658513,https://open.spotify.com/track/3f2b204xj4jZdoHjo9wj0W,2019,1,2019-01,0.006144497285352174,3f2b204xj4jZdoHjo9wj0W,0.739,0.255,0.519,81.991,0.004540783493875256,0.0015668468077648043,0.0031889940910977783,0.5037934769233101
44,Adan y Eva,Paulo Londra,652566,https://open.spotify.com/track/6FyRXC8tJUh863JCkyWqtk,2019,1,2019-01,0.0060890066187199434,6FyRXC8tJUh863JCkyWqtk,0.767,0.72,0.709,171.993,0.004670268076558196,0.004384084765478359,0.004317105692672439,1.0472665153734992
45,Che cazzo ridi (feat. Trippie Redd),Fedez,641255,https://open.spotify.com/track/5vjbuxIbXBv98HK6PlrK9M,2019,1,2019-01,0.00598346518097366,7GeC7Nb58zsPnlFSfF0HZU,0.312,0.544,0.704,149.653,0.0018668411364637818,0.0032550050584496714,0.004212359487405456,0.8954435147282511
46,Without Me,Halsey,631940,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C,2019,1,2019-01,0.005896548153955127,7lQ8MOhq6IN2w8EYcFNSUk,0.908,0.662,0.669,112.238,0.005354065723791255,0.0039035148779182943,0.00394479071499598,0.6618167717036155
47,Ti dedico il silenzio,Ultimo,624666,https://open.spotify.com/track/6GLmGfALwjzCaOiHwgfU7g,2019,1,2019-01,0.005828675426683757,6GLmGfALwjzCaOiHwgfU7g,0.661,0.147,0.443,80.0,0.003852754457037964,0.0008568152877225123,0.0025821032140209044,0.46629403413470055
48,Toradol,Gemitaiz,619770,https://open.spotify.com/track/3Rmv3h4ovgt9xVgWOfMlLx,2019,1,2019-01,0.0057829915013716,3Rmv3h4ovgt9xVgWOfMlLx,0.701,0.471,0.623,158.891,0.004053877042461491,0.0027237889971460233,0.003602803705354507,0.9188653026444349
49,Davide (feat. Coez),Gemitaiz,611564,https://open.spotify.com/track/1Lq5ApqhIWUXzlryFX2K6J,2019,1,2019-01,0.005706422405964828,1Lq5ApqhIWUXzlryFX2K6J,0.797,0.761,0.63,126.006,0.004548018657553968,0.004342587450939234,0.0035950461157578414,0.7190434616860041
50,Bohemian Rhapsody - Remastered 2011,Queen,592192,https://open.spotify.com/track/7tFiyTwD0nx5a1eklYtX2J,2019,1,2019-01,0.005525664848540992,7tFiyTwD0nx5a1eklYtX2J,0.392,0.228,0.402,143.883,0.002166060620628069,0.0012598515854673462,0.002221317269113479,0.7950492354026236
51,Wow.,Post Malone,591324,https://open.spotify.com/track/6MWtB6iiXyIwun0YzU6DFP,2019,1,2019-01,0.005517565655899866,7xQAfvXzm3AkraOtGPWIZg,0.829,0.388,0.539,99.96,0.0045740619287409886,0.002140815474489148,0.002973967888530028,0.5515358629637506
52,Arms Around You (feat. Maluma & Swae Lee),XXXTENTACION,587898,https://open.spotify.com/track/2LskIZrCeLxRvCiGP8gxlh,2019,1,2019-01,0.005485598105221874,2LskIZrCeLxRvCiGP8gxlh,0.703,0.288,0.723,104.969,0.0038563754679709775,0.0015798522543038996,0.003966087430075415,0.5758177475070348
53,Shallow,Lady Gaga,583814,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B,2019,1,2019-01,0.005447490843993351,2VxeLyX666F8uXCJ0dZF8B,0.572,0.323,0.385,95.799,0.0031159647627641966,0.0017595395426098525,0.0020972839749374404,0.5218641753637191
