Position,Track Name,Artist,Streams,URL,Year,Month,Track ID,Danceability,Energy,Valence
180,To My Love - Tainy Remix,Bomba Estéreo,442142,https://open.spotify.com/track/5LciLoxa1gK70yIUeoHgRx,2019,7,5LciLoxa1gK70yIUeoHgRx,0.764,0.59,0.281
181,The Scientist,Coldplay,441476,https://open.spotify.com/track/75JFxkI2RXiU7L9VXzMkle,2019,7,75JFxkI2RXiU7L9VXzMkle,0.557,0.442,0.213
182,Perfect,Ed Sheeran,440397,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v,2019,7,0tgVpDi06FyKpA1z0VMD4v,0.599,0.448,0.168
183,Sweet Child O' Mine,Guns N' Roses,440139,https://open.spotify.com/track/7o2CTH4ctstm8TNelqjb51,2019,7,7snQQk1zcKl8gZ92AnueZW,0.446,0.952,0.624
184,No Te Vayas,Camilo,439533,https://open.spotify.com/track/4k9byIhs9ppbYWE22waJMB,2019,7,4k9byIhs9ppbYWE22waJMB,0.766,0.721,0.81
185,Con Calma - Remix,Daddy Yankee,437914,https://open.spotify.com/track/4au7FRcgZzChASRYu279xH,2019,7,4au7FRcgZzChASRYu279xH,0.736,0.868,0.613
186,Mala Mía,Maluma,437392,https://open.spotify.com/track/62o8KoI44JfN7aYxgTnPvh,2019,7,62o8KoI44JfN7aYxgTnPvh,0.749,0.752,0.901
187,Soltera,Lunay,436281,https://open.spotify.com/track/4T4CZ3Q4z3GG7lU720YYhM,2019,7,1c0hsvHLELX6y8qymnpLKL,0.795,0.783,0.799
188,Afuera,Caifanes,435572,https://open.spotify.com/track/3pJfnBjO3kjudEchcPEDxS,2019,7,3pJfnBjO3kjudEchcPEDxS,0.487,0.553,0.699
189,Mi Razón De Ser,Banda MS de Sergio Lizárraga,434465,https://open.spotify.com/track/5JaMGjY9Ltvo9CFQfmUdYW,2019,7,5JaMGjY9Ltvo9CFQfmUdYW,0.726,0.537,0.454
190,Si Te Vienen a Contar,Cartel De Santa,433445,https://open.spotify.com/track/4058DPUoC7sLPQ05pr3e4C,2019,7,1qNUhmx3rGjiMRThz7Eruv,0.734,0.663,0.845
191,La Célula Que Explota,Caifanes,432159,https://open.spotify.com/track/5mB0MGsRfKZALHrXjnktCK,2019,7,5mB0MGsRfKZALHrXjnktCK,0.425,0.479,0.279
192,Acurrucar,Ed Maverick,431314,https://open.spotify.com/track/1xYBeQ5u8uaJ3oBWktjGyJ,2019,7,0vTmuKsIgqtez9Ups70mQU,0.766,0.825,0.77
193,Don't Stop Me Now - Remastered 2011,Queen,429960,https://open.spotify.com/track/5T8EDUDqKcs6OSOwEsfqG7,2019,7,7hQJA50XrCWABAu5v6QZ4i,0.563,0.865,0.601
194,Pollo y Conejo,Cartel De Santa,429347,https://open.spotify.com/track/1xeLSOaNvDg68FGjIkJxkU,2019,7,4dFzuZePy7GYvbPFNwJyyl,0.769,0.71,0.588
195,Bajo El Agua,Manuel Medrano,428761,https://open.spotify.com/track/5QSYWruQQ7kBCHScI4xJ9g,2019,7,5QSYWruQQ7kBCHScI4xJ9g,0.616,0.454,0.249
196,BEBE,6ix9ine,425961,https://open.spotify.com/track/6mKs2kkBgvf090H566n1pd,2019,7,7D7EH7MGyNHWSkqrszerI1,0.862,0.72,0.965
197,Luz De Dia,Los Enanitos Verdes,424327,https://open.spotify.com/track/71AMvL4Fey4MwxQShk4VBR,2019,7,6TqXieeBcZZHyaO14hQpKx,0.657,0.447,0.523
198,Bubalu,Becky G,424092,https://open.spotify.com/track/7dNwJbsT0sg1le5kVugGJb,2019,7,7dNwJbsT0sg1le5kVugGJb,0.8,0.355,0.253
199,Mi Enemigo El Amor,Pancho Barraza,422171,https://open.spotify.com/track/3YLZE6B8KTT0kYHL3ovVwA,2019,7,3V5mrjHNr7VFhcUJ5oh45V,0.592,0.579,0.633
200,Hasta Que Me Olvides,Luis Miguel,421523,https://open.spotify.com/track/6vPAmoERUMRoTZaCCSWQ12,2019,7,6vPAmoERUMRoTZaCCSWQ12,0.641,0.593,0.437
1,China,Anuel AA,4947470,https://open.spotify.com/track/2ksOAxtIxY8yElEWw8RhgK,2019,8,2ksOAxtIxY8yElEWw8RhgK,0.786,0.808,0.609
2,Callaita,Bad Bunny,4278659,https://open.spotify.com/track/2TH65lNHgvLxCKXM3apjxI,2019,8,2TH65lNHgvLxCKXM3apjxI,0.61,0.624,0.244
3,LA CANCIÓN,J Balvin,4195789,https://open.spotify.com/track/0fea68AdmYNygeTGI4RC18,2019,8,0fea68AdmYNygeTGI4RC18,0.754,0.646,0.429
4,Tutu,Camilo,3868869,https://open.spotify.com/track/1nocRtwyNPVtGcIJqfgdzZ,2019,8,1nocRtwyNPVtGcIJqfgdzZ,0.731,0.832,0.94
5,No Me Conoce - Remix,Jhay Cortez,3669217,https://open.spotify.com/track/4R8BJggjosTswLxtkw8V7P,2019,8,4R8BJggjosTswLxtkw8V7P,0.806,0.786,0.58
