Position,Track Name,Artist,Streams,URL,Year,Month,Track ID,Danceability,Energy,Valence
180,Piece Of Your Heart - Alok Remix,MEDUZA,526698,https://open.spotify.com/track/6iW38RGqdDGOofmz2HeXLW,2020,3,6iW38RGqdDGOofmz2HeXLW,0.797,0.86,0.192
181,Notificação Preferida - Ao Vivo,Zé Neto & Cristiano,523055,https://open.spotify.com/track/3tA0vALUwrzkTgHcm9j6oJ,2020,3,3tA0vALUwrzkTgHcm9j6oJ,0.398,0.838,0.206
182,everything i wanted,Billie Eilish,519297,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ,2020,3,3ZCTVFBt2Brf31RLEnCkWJ,0.704,0.225,0.243
183,Fica à vontade,PEDRO SAMPAIO,519250,https://open.spotify.com/track/0h1mVA8gOPR71lxSeY67uT,2020,3,5579yRF96PYOFoh69ghsRZ,0.786,0.627,0.764
184,Acende o Isqueiro,Orochi,518010,https://open.spotify.com/track/1DdEU9f7uXklMx6Dm0Mdwq,2020,3,1DdEU9f7uXklMx6Dm0Mdwq,0.48,0.565,0.806
185,Nem de Graça,Pixote,515523,https://open.spotify.com/track/11Y1IGMIThaxu4ijcXRNYs,2020,3,11Y1IGMIThaxu4ijcXRNYs,0.706,0.811,0.928
186,Bomba Relógio,Luísa Sonza,514867,https://open.spotify.com/track/0HocIafyaS4C7rDGTJXYnj,2020,3,0HocIafyaS4C7rDGTJXYnj,0.778,0.596,0.868
187,Lugar Secreto,Gabriela Rocha,514185,https://open.spotify.com/track/7Dp0unlUzhQtk60rVq5mMC,2020,3,2ZtyevyY9zXjSICcCfBdM2,0.476,0.814,0.151
188,Procuro Alguém (prod. Coyote Beatz),Djonga,513132,https://open.spotify.com/track/0iCOIAN5PaXnATuKkzTVNx,2020,3,0iCOIAN5PaXnATuKkzTVNx,0.707,0.646,0.683
189,quando a bad bater - ao vivo,Luan Santana,512589,https://open.spotify.com/track/5gvrBqNFFEWcxYPt3mamvJ,2020,3,5gvrBqNFFEWcxYPt3mamvJ,0.648,0.789,0.53
190,Indomável (Participação especial de Belo),Pk,508923,https://open.spotify.com/track/4YbZBChhX5SkLhNJcvvhuD,2020,3,4YbZBChhX5SkLhNJcvvhuD,0.525,0.562,0.679
191,Godzilla (feat. Juice WRLD),Eminem,507207,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ,2020,3,7FIWs0pqAYbP91WWM0vlTQ,0.808,0.745,0.829
192,Namorada Reserva - Ao Vivo,Hugo & Guilherme,506892,https://open.spotify.com/track/5GHA824FwkHeBl5u1T6kLj,2020,3,5GHA824FwkHeBl5u1T6kLj,0.778,0.734,0.719
193,Pra Você Guardei O Amor,Nando Reis,505968,https://open.spotify.com/track/1EQ8sBQ7Abv9DvNBzhXAcv,2020,3,05lTZbnzpE0wgQI7676l0y,0.464,0.386,0.351
194,Shallow,Lady Gaga,503779,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B,2020,3,2VxeLyX666F8uXCJ0dZF8B,0.572,0.385,0.323
195,Tá Rocheda,Os Barões Da Pisadinha,503095,https://open.spotify.com/track/3dPvQLKl42dMYWV4LWRTLK,2020,3,3dPvQLKl42dMYWV4LWRTLK,0.775,0.886,0.939
196,Nova Colônia,Orochi,501869,https://open.spotify.com/track/1yHQyxjXdS0TQDBog1RxSP,2020,3,7xjxiAQUByBANNUrSl8pBr,0.353,0.598,0.273
197,Deixa,Mc Th,501570,https://open.spotify.com/track/4zZ2rPOa8itw3VuusVSicv,2020,3,0DlHQxrVijRqVUfuS6PKaY,0.815,0.69,0.654
198,Gelo (prod. Coyote Beatz),Djonga,501365,https://open.spotify.com/track/3yB4oIcmoYavZsq8oG3mPA,2020,3,3yB4oIcmoYavZsq8oG3mPA,0.649,0.576,0.754
199,Happier,Marshmello,499665,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99,2020,3,2dpaYNEQHiRxtZbfNsse99,0.687,0.792,0.671
200,Aquieta Minh'alma,Ministério Zoe,495165,https://open.spotify.com/track/1mCSBNFx3kwPYTflRUelNj,2020,3,1mCSBNFx3kwPYTflRUelNj,0.446,0.316,0.116
1,A Gente Fez Amor - Ao Vivo,Gusttavo Lima,4742990,https://open.spotify.com/track/3tv697PZNnaQN0Mn2zGhS5,2020,4,3tv697PZNnaQN0Mn2zGhS5,0.794,0.937,0.826
2,Don't Start Now,Dua Lipa,3787279,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62,2020,4,6WrI0LAC5M1Rw2MnX2ZvEg,0.794,0.793,0.677
3,Liberdade Provisória - Ao Vivo,Henrique & Juliano,3526471,https://open.spotify.com/track/3Ghyp3X5Ua9ypHnBIgOObI,2020,4,4Y0gR2tYML083T6b2vhJrn,0.675,0.685,0.7
4,BRABA,Luísa Sonza,3246690,https://open.spotify.com/track/2WlZuBDgLfT7Kc0admhFdg,2020,4,2WlZuBDgLfT7Kc0admhFdg,0.811,0.689,0.663
5,Tudo no Sigilo (Vytinho NG e Bianca),Vytinho NG,2954617,https://open.spotify.com/track/60wF0XnX7A0jVpDNA5v8vi,2020,4,60wF0XnX7A0jVpDNA5v8vi,0.662,0.7,0.705
6,Rave de Favela (feat. BEAM),Major Lazer,2877452,https://open.spotify.com/track/1K7WzjKDcDdVbKNGrB0gej,2020,4,1K7WzjKDcDdVbKNGrB0gej,0.891,0.894,0.671
7,Graveto - Ao Vivo,Marília Mendonça,2790913,https://open.spotify.com/track/3tc8Z4lGzOIwmIVftsxO6o,2020,4,3tc8Z4lGzOIwmIVftsxO6o,0.714,0.632,0.402
8,Litrão - Ao Vivo,Matheus & Kauan,2734240,https://open.spotify.com/track/5W1kqz2l1lDX77DXBMeXZg,2020,4,5q3hIZiCl6IbcADZ7AKPFc,0.48,0.807,0.536
9,S de Saudade,Luíza & Maurílio,2580277,https://open.spotify.com/track/3J5Pu25BODMex4Jpy4l6FL,2020,4,3J5Pu25BODMex4Jpy4l6FL,0.714,0.712,0.789
10,água com açúcar - ao vivo,Luan Santana,2253460,https://open.spotify.com/track/6nI98wtHOJAYSASq22TCYu,2020,4,6nI98wtHOJAYSASq22TCYu,0.457,0.603,0.176
11,Bebi Minha Bicicleta (Coração Falido) - Ao Vivo,Zé Neto & Cristiano,2227903,https://open.spotify.com/track/2Q9TaUXNM4mNSCgJjbmsJe,2020,4,5qMnAsvgTfHMd5KQpzpnA1,0.57,0.889,0.426
12,Te Prometo,DENNIS,2204646,https://open.spotify.com/track/7Ac3BmqTQoLdAt7HtZyfgN,2020,4,3tIR4c32vtH9fGn57EfF2w,0.751,0.152,0.433
13,Ranking,Jorge & Mateus,2201568,https://open.spotify.com/track/0RaIjuKU5hudMteEXwr4RS,2020,4,0RaIjuKU5hudMteEXwr4RS,0.666,0.846,0.782
14,Roses - Imanbek Remix,SAINt JHN,2182890,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI,2020,4,0zLCBJZSiELJf02ucPP9wb,0.769,0.719,0.863
15,Com ou Sem Mim - Ao Vivo,Gustavo Mioto,2133660,https://open.spotify.com/track/5L8ZEyIdZ2KE4Wf51SsuOF,2020,4,2BU6XXSG8SqiptRuj6EiLA,0.605,0.72,0.296
16,Volta por Baixo - Ao Vivo,Henrique & Juliano,2120786,https://open.spotify.com/track/7o9LwQmTuIDm4LyyHFIWul,2020,4,6juD9PQwAPvuXYIAE2gjhO,0.532,0.769,0.463
